Fecha,Centro Ozono,Centro diÛxido de azufre,Centro diÛxido de nitrÛgeno,Centro monÛxido de carbono,Centro PM10
2021-03-16,27,7.583333333,15.58333333,4.791666667,74.29166667
2021-03-17,33.25,6,13.91666667,4,66.79166667
2021-03-18,34.5,8,13.875,3.25,64.29166667
2021-03-19,28.25,32.83333333,16.58333333,4.333333333,78.5
2021-03-20,29.58333333,50.04166667,16.58333333,4.291666667,90.41666667
2021-03-21,41.41666667,33.66666667,13.625,4.25,77.41666667
2021-03-22,25.25,11.25,13.33333333,3.791666667,61.125
2021-03-23,27.25,5.416666667,13.29166667,3.541666667,56.41666667
2021-03-24,26.66666667,4.25,15.54166667,4.333333333,62.91666667
2021-03-25,33.16666667,4,18.16666667,5.208333333,60.95833333
2021-03-26,38.20833333,6,19.125,6.375,77.58333333
2021-03-27,46.83333333,8,17.5,5.541666667,91.08333333
2021-03-28,38.29166667,8.166666667,12.375,4.333333333,99.33333333
2021-03-29,37.33333333,7.583333333,10.91666667,2.625,92.66666667
2021-03-30,38.875,24,14.95833333,4.041666667,74.20833333
2021-03-31,29.58333333,8.083333333,16.20833333,3.875,91.54166667
2021-04-01,24.16666667,4,6.25,1.083333333,58.5
2021-04-02,19.91666667,2.166666667,6.125,1,32.54166667
2021-04-03,23.08333333,12.5,10.08333333,1.958333333,38.91666667
2021-04-04,28.66666667,24.83333333,11.54166667,2.666666667,42
2021-04-05,23.33333333,15.08333333,15.45833333,3.625,46.375
2021-04-06,28.70833333,14.91666667,15.125,4.5,58.70833333
2021-04-07,33,9.083333333,15.875,4.291666667,46.625
2021-04-08,44.5,5.25,16.875,5.5,58.375
2021-04-09,47,2.75,15.95833333,4.791666667,61.375
2021-04-10,47.79166667,2,16.04166667,4.583333333,57.33333333
2021-04-11,42.41666667,3.666666667,15.25,5.666666667,64.70833333
2021-04-12,40.41666667,4,15.91666667,5.416666667,64.625
2021-04-13,46.625,4,18.33333333,5.416666667,80.91666667
2021-04-14,42.75,4,16.29166667,5.375,70.875
2021-04-15,47.75,2.333333333,15.75,4.583333333,55.45833333
2021-04-16,47.91666667,3.083333333,17.875,6.125,62.41666667
2021-04-17,40.58333333,4.166666667,16.375,5.875,76.08333333
2021-04-18,30.375,5.916666667,13.58333333,5.291666667,85.29166667
2021-04-19,27.875,4.083333333,16.25,6.708333333,69.91666667
2021-04-20,34.83333333,4,15.45833333,5.166666667,74.125
2021-04-21,41,16.91666667,16.75,4.916666667,93.41666667
2021-04-22,43.45833333,9.75,15.875,4.333333333,99.16666667
2021-04-23,45.08333333,5.25,16.04166667,4.75,93.83333333
2021-04-24,56.20833333,6.166666667,17.625,5.25,101.625
2021-04-25,49.66666667,6,10.45833333,2.708333333,96.625
2021-04-26,50.5,5.583333333,16.16666667,4.416666667,87.41666667
2021-04-27,55.66666667,4,17.375,3.416666667,85.83333333
2021-04-28,51,4,14.91666667,4.083333333,83.375
2021-04-29,44.83333333,3.583333333,18.95833333,4.875,52.70833333
2021-04-30,38.70833333,3.333333333,18.41666667,4.25,56.16666667
2021-05-01,34.625,2,12.66666667,3.75,57.08333333
2021-05-02,37.625,2,11.25,3.958333333,49.58333333
2021-05-03,27.91666667,2,12.875,5.208333333,43.95833333
2021-05-04,40.79166667,2,12.79166667,3.833333333,45.70833333
2021-05-05,43,3.25,13,3.708333333,51.5
2021-05-06,28.75,1.666666667,11.79166667,3.541666667,37.16666667
2021-05-07,31.45833333,1.75,9.833333333,1.958333333,31.08333333
2021-05-08,37.125,13.33333333,12.83333333,3.208333333,34.66666667
2021-05-09,42.95833333,10.16666667,13.08333333,4.041666667,39.54166667
2021-05-10,48,4.666666667,12.33333333,4,34.5
2021-05-11,33.08333333,8,14.29166667,3.958333333,38.29166667
2021-05-12,36.54166667,3.833333333,15.95833333,3.958333333,36.41666667
2021-05-13,17.33333333,3.166666667,11.54166667,3.25,26.33333333
2021-05-14,20.41666667,2,10.79166667,2.833333333,18.125
2021-05-15,27.125,3.166666667,13.5,3.416666667,27
2021-05-16,38.45833333,4.666666667,10.70833333,2.458333333,32.79166667
2021-05-17,39.16666667,2.333333333,14.83333333,4.583333333,28.20833333
2021-05-18,33.20833333,2,16.91666667,4.583333333,31.5
2021-05-19,34.20833333,2,16.625,5.125,38.66666667
2021-05-20,45.91666667,4.416666667,17,5.333333333,39.95833333
